stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
47,0.5,2.0,50.62304409999342,,50.607714300000225,50.62304409999342,51.10764250000648,51.10764250000648,51.124480099999346,51.408151600000565,51.49216310000338,left,-2.0,1,1,0.37122079999244306,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
48,0.5,2.0,51.50762360000226,,51.49223069999425,51.50762360000226,51.991933700002846,51.991933700002846,52.00882060000731,52.29208240000298,52.52746670000488,right,2.0,1,1,0.5309063000022434,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
49,0.5,1.5,52.54245720000472,,52.527533800006495,52.54245720000472,53.04298660000495,53.04298660000495,53.04298660000495,53.343314600002486,53.461389200005215,left,-1.5,1,1,0.40997399999469053,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
50,0.5,1.5,53.47734139999375,,53.46147259999998,53.47734139999375,53.96084840000549,53.96084840000549,53.9777471999987,54.26078579999739,54.46272609999869,left,-1.5,1,1,0.48895210000046063,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
51,0.5,1.5,54.47791830000642,,54.46279259999574,54.47791830000642,54.97857409999415,54.97857409999415,54.97857409999415,55.279071800003294,55.31350040000689,left,-1.5,1,1,0.31844570000248495,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
52,0.5,1.0,55.32867889999761,,55.31357699999353,55.32867889999761,55.8128560000041,55.8128560000041,55.829731699996046,56.11292420000245,56.23183180000342,right,1.0,0,0,0.4051882000057958,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
53,0.5,1.5,56.24699490000785,,56.23197330000403,56.24699490000785,56.74674830000731,56.74674830000731,56.74674830000731,57.04744480000227,57.4825589999964,right,1.5,1,1,0.7250955000054091,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
54,0.5,1.5,57.49796979999519,,57.48262409999734,57.49796979999519,57.99924849999661,57.99924849999661,57.99924849999661,58.29926379999961,58.65016170000308,right,1.5,1,1,0.6461678000050597,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
55,0.5,1.5,58.665764799996396,,58.65022530000715,58.665764799996396,59.14981830000761,59.14981830000761,59.16678149999643,59.450037400005385,59.95197819999885,right,1.5,0,0,0.7903965000004973,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
56,0.5,2.0,59.96792730000743,,59.95204780000495,59.96792730000743,60.45147960000031,60.45147960000031,60.467827600004966,60.75195020000683,61.02008620000561,left,-2.0,0,0,0.562208900009864,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
57,0.5,2.5,61.03514140000334,,61.020155799997156,61.03514140000334,61.53614060000109,61.53614060000109,61.53614060000109,61.83609440000146,62.204468500000075,right,2.5,1,1,0.652714299998479,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
58,0.5,2.5,62.22014140000101,,62.20460729999468,62.22014140000101,62.70406269999512,62.70406269999512,62.720304600006784,63.00391810000292,63.223110399994766,right,2.5,1,1,0.5136271999945166,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
59,0.5,2.5,63.23805050000374,,63.22320769999351,63.23805050000374,63.73838070000056,63.73838070000056,63.73838070000056,64.03886919999786,64.24008329999924,left,-2.5,1,1,0.4983533000049647,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
60,0.5,2.0,64.25542929999938,,64.24015009999857,64.25542929999938,64.73921250000421,64.73921250000421,64.75705260000541,65.04012269999657,65.29083060000266,right,2.0,1,1,0.5422008000023197,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
61,0.5,2.0,65.30657820000488,,65.2909076000069,65.30657820000488,65.79067040000518,65.79067040000518,65.80725850000454,66.09084479999729,66.30924689999665,left,-2.0,1,1,0.5158414000034099,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
62,0.5,2.0,66.32429220000631,,66.3093213999964,66.32429220000631,66.80828660000407,66.80828660000407,66.8249960999965,67.10846839999431,67.24311820000003,left,-2.0,1,1,0.42719279999437276,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
63,0.5,1.5,67.2589125999948,,67.24324860000343,67.2589125999948,67.74281830000109,67.74281830000109,67.75935959999333,68.0432518000016,68.44462029999704,right,1.5,1,1,0.6950771000119857,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
64,0.5,1.5,68.45991459999641,,68.44469620000746,68.45991459999641,68.94406320000417,68.94406320000417,68.96105460000399,69.24423100000422,69.56239930000447,left,-1.5,1,1,0.6117467000003671,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
65,0.5,1.5,69.57834720000392,,69.56246180000016,69.57834720000392,70.06197640000028,70.06197640000028,70.07906649999495,70.36265090000234,70.49673860000621,right,1.5,0,0,0.4288775000022724,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
66,0.5,2.0,70.51225569999951,,70.49681880000571,70.51225569999951,70.99638759999652,70.99638759999652,71.0128332000022,71.29655349999666,72.01494940000703,left,-2.0,1,1,1.0021433000074467,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
67,0.5,2.0,72.03097819999675,,72.01502950000577,72.03097819999675,72.51444319999428,72.51444319999428,72.53101180000522,72.81520330000785,72.98312770000484,right,2.0,1,1,0.45656469999812543,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
68,0.5,2.0,72.99833810000564,,72.98319090000587,72.99833810000564,73.482285399994,73.482285399994,73.49907049999456,73.78257840000151,73.98508100000618,right,2.0,1,1,0.501281700009713,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
69,0.5,1.5,73.9994602999941,,73.98523780000687,73.9994602999941,74.50067520000448,74.50067520000448,74.50067520000448,74.80046369999764,75.23530200000096,right,1.5,1,1,0.71737949999806,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
70,0.5,1.5,75.25076130000525,,75.23536740000418,75.25076130000525,75.73466909999843,75.73466909999843,75.75176909999573,76.03515939999488,76.47066449999693,left,-1.5,0,0,0.7306745000096271,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
71,0.5,2.0,76.48584370000754,,76.47075269999914,76.48584370000754,76.9863628000021,76.9863628000021,76.9863628000021,77.2866811999993,77.55498240000452,right,2.0,1,1,0.5612358999933349,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
72,0.5,2.0,77.57009110000217,,77.5550474000047,77.57009110000217,78.05430859999615,78.05430859999615,78.07066019999911,78.35446020000381,78.4891695999977,left,-2.0,0,0,0.4262142999941716,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
